Committee(s) (modern name as of 2020),Subcommittee(s) (name at time of hearing),Title,Link,Hearing Date,Sortable Hearing Date,Chamber,Majority,Topic areas,Description,Event,ID,Witness 1,Witness 1 Federal Employee?,Witness 2,Witness 2 Federal Employee?,Witness 3,Witness 3 Federal Employee?,Witness 4,Witness 4 Federal Employee?,Witness 5,Witness 5 Federal Employee?,Witness 6,Witness 6 Federal Employee?,Witness 7,Witness 7 Federal Employee?,Witness 8,Witness 8 Federal Employee?,Witness 9,Witness 9 Federal Employee?,Witness 10,Witness 10 Federal Employee?,Witness 11,Witness 11 Federal Employee?,Witness 12,Witness 12 Federal Employee?,Witness 13,Witness 13 Federal Employee?,Witness 14,Witness 14 Federal Employee?,Witness 15,Witness 15 Federal Employee?,Witness 16,Witness 16 Federal Employee?
Senate Committee on Homeland Security and Governmental Affairs (US),"Jointly between full committee and Subcommittee on International Security, Proliferation and Federal Services",Federal Efforts to Coordinate and Prepare the United States for Bioterrorism: Are They Ready?,https://www.govinfo.gov/app/details/CHRG-107shrg76807/CHRG-107shrg76807,"October 17, 2001",2001-10-17,Senate,D,Medical preparedness / emergency response,"The Senate Committee on Homeland Security and Governmental Affairs held a joint hearing with its own Subcommittee on International Security, Proliferation and Federal Services on federal efforts to coordinate and prepare the United States for bioterrorism. The hearing, held in the weeks that the Amerithrax anthrax attacks were unfolding, examined how well governments at all levels from local to federal were prepared to respond to a biological or chemical attack. Discussion from federal and non-federal witnesses examined topics relating to medical preparedness for biological incidents, including medical countermeasures, response surge capacity, and hospital readiness.",2001 Anthrax attacks (Amerithrax),3345,Tommy Thompson,1,Michael Brown,1,Deborah Daniels,1,Henry Hinton Jr.,1,Anna Johnson-Winegar,1,Gary McConnell,0,Maureen Dempsey,0,Margaret Hamburg,0,Amy Smithson,0,,,,,,,,,,,,,,
Senate Committee on Homeland Security and Governmental Affairs (US),"Jointly between full committee and Subcommittee on International Security, Proliferation and Federal Services",Terrorism Through the Mail: Protecting Postal Workers and the Public,https://books.google.com/books/about/Terrorism_Through_the_Mail.html?id=3y8RAAAAIAAJ,"October 31, 2001",2001-10-31,Senate,D,Medical preparedness / emergency response,"The Senate Committee on Governmental Affairs held a joint hearing with its Subcommittee on International Security, Proliferation and Federal Services to examine the effects of terrorism on the U.S. mail service, focusing on safeguards to protect postal employees and its customers. Key witnesses testified to how the Postal Service and public health officials had responded to recent anthrax attacks, issues of biosurveillance (including environmental biodetection and public health surveillance), and medical response to the attacks (including distribution of medical countermeasures).",2001 Anthrax attacks (Amerithrax),853,Hillary Clinton,0,Paul Wellstone,0,Mitchell Cohen,1,Raymond Decker,1,John Parker,1,Ivan Walks,0,Dan Hanfling,0,Tara O'Toole,0,,,,,,,,,,,,,,,,
Senate Committee on Homeland Security and Governmental Affairs (US),Permanent Subcommittee on Investigations,SARS: State and Local Response,https://www.govinfo.gov/app/details/CHRG-108shrg88251/CHRG-108shrg88251,"May 21, 2003",2003-05-21,Senate,R,Medical preparedness / emergency response,"The Senate Committee on Governmental Affairs Permanent Subcommittee on Investigations held hearings to examine severe acute respiratory syndrome (SARS), focusing on state and local response. The Subommittee discussed how to improve coordination of response to individual outbreaks among federal, state, and local officials, as well as between government officials and the private sector. Members also considered what state and local officials were doing to anticipate and respond to the disease. ",2003 SARS,862,Julie Gerberding,1,Anthony Fauci,1,Michael Osterholm,0,Rodney Huebbers,0,Thomas Frieden,0,Mary Selecky,0,Lawrence Gostin,0,Bruce Cords,0,Vicki Grunseth,0,,,,,,,,,,,,,,
Senate Committee on Homeland Security and Governmental Affairs (US),Permanent Subcommittee on Investigations,SARS: Best Practices for Identifying and Caring for New Cases,https://www.govinfo.gov/app/details/CHRG-108shrg89038/CHRG-108shrg89038,"July 30, 2003",2003-07-30,Senate,R,Medical preparedness / emergency response,The Senate Committee on Governmental Affairs Permanent Subcommittee on Investigations held a hearing to examine best practices for identifying and caring for new cases of severe acute respiratory syndrome (SARS). Members considered control measures to help contain the spread of SARS should future outbreaks occur. Hearing discussion emphasized that emergency response at the local level was inadequate and required more attention.,2003 SARS,864,Marjorie Kanof,1,James Hughes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senate Committee on Homeland Security and Governmental Affairs (US),"Subcommittee on Oversight of Government Management, the Federal Workforce, and the District of Columbia",The Role of Federal Executive Boards in Pandemic Preparedness,https://www.govinfo.gov/app/details/CHRG-110shrg38846/CHRG-110shrg38846,"September 28, 2007",2007-09-28,Senate,D,Strategic planning,"As the first hearing in a three-part series on pandemic influenza, the Senate Committee on Homeland Security and Governmental Affairs Subcommittee on Oversight of Government Management, the Federal Workforce, and the District of Columbia held a hearing on the role of federal executive boards (FEBs) in combating pandemic influenza. The Subcommittee heard testimony from federal government and FEB officials. Conversation centered on the role of FEBs in ensuring continuity of operations for the federal workforce during an influenza pandemic and their potential to serve a broader role in the federal government's emergency planning, including for health emergencies.",,892,Bernice Steinhardt,1,Arthur Cleaves,1,Kevin Mahoney,1,Raymond Morris,1,Kimberly Ainsworth,1,Michael Goin,1,,,,,,,,,,,,,,,,,,,,
Senate Committee on Homeland Security and Governmental Affairs (US),"Subcommittee on Oversight of Government Management, the Federal Workforce, and the District of Columbia",Preparing the National Capital Region for a Pandemic,https://www.govinfo.gov/app/details/CHRG-110shrg38846/CHRG-110shrg38846,"October 2, 2007",2007-10-02,Senate,D,Strategic planning,"As the second hearing in a three-part series on pandemic influenza, the Senate Committee on Homeland Security and Governmental Affairs Subcommittee on Oversight of Government Management, the Federal Workforce, and the District of Columbia held a hearing on preparedness for pandemic influenza in the National Capital Region (NCR). The subcommittee heard testimony from officials in the federal government and local NCR government agencies. Discussion centered on the role of strategic plans for pandemic influenza, federal funding, and coordination/communication between agencies and jurisdictions to improve continuity of operations, medical surge capacity, and public communications during an influenza pandemic.",,893,Kevin Yeskey,1,Christopher Geldart,1,Robert Mauskapf,0,Darrell Darnell,0,,,,,,,,,,,,,,,,,,,,,,,,
Senate Committee on Homeland Security and Governmental Affairs (US),"Subcommittee on Oversight of Government Management, the Federal Workforce, and the District of Columbia",Forestalling the Coming Pandemic: Overseas Infectious Disease Surveillance,https://www.govinfo.gov/app/details/CHRG-110shrg38846/CHRG-110shrg38846,"October 4, 2007",2007-10-04,Senate,D,Surveillance / detection,"As the third hearing in a three-part series on pandemic influenza, the Senate Committee on Homeland Security and Governmental Affairs Subcommittee on Oversight of Government Management, the Federal Workforce, and the District of Columbia held a hearing to evaluate infectious disease surveillance/biosurveillance systems abroad. The subcommittee heard testimony from officials across the federal government and experts outside of government. Discussion centered on whether existing systems provided U.S. policymakers with adequate information on emerging outbreaks, the importance of early detection of emerging infectious diseases to contain outbreaks, and information gaps and areas for further expansion of disease surveillance activity.",,895,David Gootnick,1,Ray Arthur,1,Kimothy Smith,1,Ralph Erickson,1,Kent Hill,1,Nathan Flesness,0,Daniel Janies,0,James Wilson,0,,,,,,,,,,,,,,,,
Senate Committee on Homeland Security and Governmental Affairs (US),"Subcommittee on Oversight of Government Management, the Federal Workforce, and the District of Columbia",Protecting Our Employees: Pandemic Influenza Preparedness and the Federal Workforce,https://www.govinfo.gov/app/details/CHRG-111shrg51787/CHRG-111shrg51787,"June 16, 2009",2009-06-16,Senate,D,Medical preparedness / emergency response,"The Senate Committee on Homeland Security and Governmental Affairs Subcommittee on Oversight of Government Management, the Federal Workforce, and the District of Columbia held a hearing on the federal government's continuity of operations planning in the content of the H1N1 influenza pandemic. The Subcommittee heard testimony from federal officials and representatives of unions for federal employees. The conversation focused on gaps in agencies' pandemic workforce plans and opportunities to improve this planning, such as through incorporating the use of telework/telecommuting/work-from-home.",2009 H1N1,898,Elaine Duke,1,Nancy Kichak,1,W. Craig Vanderwagen,1,Bernice Steinhardt,1,T. J. Bonner,0,Maureen Gilman,0,,,,,,,,,,,,,,,,,,,,
Senate Committee on Homeland Security and Governmental Affairs (US),"Subcommittee on State, Local, and Private Sector Preparedness and Integration",A Review of Disaster Medical Preparedness: Improving Coordination and Collaboration in the Delivery of Medical Assistance During Disasters,https://www.govinfo.gov/app/details/CHRG-111shrg58403/CHRG-111shrg58403,"July 22, 2010",2010-07-22,Senate,D,Medical preparedness / emergency response,"The Senate Committee on Homeland Security and Governmental Affairs Ad Hoc Subcommittee on State, Local, and Private Sector Preparedness and Integration held a hearing on medical capacity and medical preparedness for health emergencies. The Committee heard testimony from federal officials and a representative from a hospital association on preparedness for pandemics and other disasters. Topics discussed included the National Disaster Medical System and governmental coordination involved in a medical response to an emergency,",,903,Robert Fenton,1,Kevin Yeskey,1,Paul Cunningham,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Senate Committee on Homeland Security and Governmental Affairs (US),,FEMA's Role in Managing Bioterrorist Attacks and the Impact of Public Health Concerns on Bioterrorism Preparedness,https://www.govinfo.gov/app/details/CHRG-107shrg75441/CHRG-107shrg75441,"July 23, 2001",2001-07-23,Senate,D,Medical preparedness / emergency response,"The Senate Committee on Governmental Affairs Subcommittee on International Security, Proliferation and Federal Services held a hearing to examine the role of the Federal Emergency Management Agency in managing a bioterrorist attack. They identified surveillance, quick and decisive investigation into an incident, and appropriate emergency response as the three main pillars of bioterrorism preparedness. The Subcommittee also analyzed whether lessons from simulations such as TOPOFF and Dark Winter were being applied to public health policy. ",,849,Bruce Baughman,1,Scott Lillibridge,1,Tara O'Toole,0,Dan Hanfling,0,,,,,,,,,,,,,,,,,,,,,,,,
Senate Committee on Homeland Security and Governmental Affairs (US),,Public Health Preparedness for Terrorism Involving Weapons of Mass Destruction,https://www.govinfo.gov/app/details/CHRG-107shrg80296/CHRG-107shrg80296,"April 18, 2002",2002-04-18,Senate,D,Medical preparedness / emergency response,"The Senate Committee on Government Affairs  held hearings to examine the state of public health preparedness for terrorism involving weapons of mass destruction. Members analyzed federal efforts to coordinate and communicate with public health and law enforcement agencies in the event of a terrorist attack with public health implications, such as an infectious disease outbreak, and certain budgetary requirements to implement homeland security measures. ",,856,Tommy Thompson,1,Margaret Hamburg,0,Thomas Milne,0,Thomas Inglesby,0,,,,,,,,,,,,,,,,,,,,,,,,
Senate Committee on Homeland Security and Governmental Affairs (US),,Preparing for Reality: Protecting Against Weapons of Mass Destruction,https://www.govinfo.gov/app/details/CHRG-107shrg80610/CHRG-107shrg80610,"June 28, 2002",2002-06-28,Senate,D,Medical preparedness / emergency response,"The Senate Committee on Governmental Affairs looked at ways to protect against weapons of mass destruction, including biological attacks. Although terrorism was the focus, discussion addressed commonalities with naturally occurring epidemics, and the need to ensure that both law enforcement and public health officials are empowered to respond. One witness noted that meaningful progress against the biological threat depends on understanding it in the context of infectious and/or epidemic disease.",,3348,Lewis Branscomb,0,Margaret Hamburg,0,Janet Heinrich,1,William Madia,1,J. Leighton Read,0,,,,,,,,,,,,,,,,,,,,,,
Senate Committee on Homeland Security and Governmental Affairs (US),,Six Years After Anthrax: Are We Better Prepared to Respond to Bioterrorism?,https://www.govinfo.gov/app/details/CHRG-110shrg38988/CHRG-110shrg38988,"October 23, 2007",2007-10-23,Senate,D,Medical preparedness / emergency response,"The Senate Committee on Homeland Security and Governmental Affairs held a hearing on advances in U.S. preparedness for bioterrorist attacks in the years since the 2001 anthrax attacks, with discussion many aspects of preparedness also applicable to natural outbreaks of emerging infectious disease. The Committee heard from federal officials and an outside witness. Topics of discussion included medical countermeasure development and challenges to that endeavor, particularly for Project BioShield; gaps in disease surveillance and environmental biodetection programs, including BioWatch; and medical surge capacity needed in a health emergency.",,3358,Jay Cohen,1,Gerald Parker,1,Keith Rhodes,1,Tara O'Toole,0,,,,,,,,,,,,,,,,,,,,,,,,
Senate Committee on Homeland Security and Governmental Affairs (US),,Ten Years After 9/11 and the Anthrax Attacks: Protecting Against Biological Threats,https://www.govinfo.gov/app/details/CHRG-112shrg67123/CHRG-112shrg67123,"October 18, 2011",2011-10-18,Senate,D,Medical preparedness / emergency response,"The Senate Committee on Homeland Security and Governmental Affairs held a hearing (pp. 281-322 and 1144-1223) to examine the federal government's biodefense activity ten years after the 9/11 attacks and the 2001 anthrax attacks. The Committee heard from experts within and outside the federal government. Conversation centered on the federal government's response capabilities for biological attacks and emerging infectious disease, with a focus on biosurveillance/disease surveillance, hospital preparedness, medical countermeasure development and distribution, coordination among the myriad agencies and levels of government involved in biodefense activity, and laboratory biosafety.",,905,Tara O'Toole,1,Alexander Garza,1,Nicole Lurie,1,Vahid Majidi,1,Robert Kadlec,0,Thomas Inglesby,0,Jeffrey Levi,0,,,,,,,,,,,,,,,,,,
Senate Committee on Homeland Security and Governmental Affairs (US),,Preparedness and Response to Public Health Threats: How Ready Are we?,https://www.govinfo.gov/app/details/CHRG-113shrg92908/CHRG-113shrg92908,"November 19, 2014",2014-11-19,Senate,D,Medical preparedness / emergency response,"The Senate Committee on Homeland Security and Governmental Affairs held a hearing to investigate U.S. preparedness for global health emergencies broadly and specifically its response to the West Africa Ebola epidemic. Members and witnesses discussed the Obama Administration's approximately $6.2 billion emergency appropriations request to combat the virus. Discussion focused on the known qualities of the disease and elements of preparedness in the United States, including governmental coordination, infection control measures (such as traveler screenings), development of medical countermeasures through the Biomedical Advanced Research and Development Authority, and leadership from the Centers for Disease Control and Prevention.",2014-2016 Ebola (West Africa),3262,Nicole Lurie,1,Thomas Frieden,1,Gil Kerlikowske,1,Nancy Lindborg,1,David Lakey,0,,,,,,,,,,,,,,,,,,,,,,
Senate Committee on Homeland Security and Governmental Affairs (US),,Stopping an Avian Influenza Threat to Animal and Public Health,https://www.govinfo.gov/app/details/CHRG-114shrg21257/CHRG-114shrg21257,"July 8, 2015",2015-07-08,Senate,R,Other,"The Senate Committee on Homeland Security and Governmental Affairs held a hearing to examine the U.S. poultry outbreak of highly pathogenic avian influenza (HPAI). The Committee heard from witnesses across the federal government as well as outside of government. Conversation focused on the threat of HPAI to birds and to humans, the U.S. government and agricultural industry's response to the outbreak, and ways to improve preparedness for future outbreaks.",,919,John Clifford,1,Anne Schuchat,1,Chris Currie,1,Jack Gelb Jr.,0,Scott Schneider,0,,,,,,,,,,,,,,,,,,,,,,
Senate Committee on Homeland Security and Governmental Affairs (US),,Assessing the State of Our Nation's Biodefense,https://www.govinfo.gov/app/details/CHRG-114shrg22381/CHRG-114shrg22381,"October 28, 2015",2015-10-28,Senate,R,Strategic planning,"The Senate Committee on Homeland Security and Governmental Affairs (HSGAC) held a hearing to examine the findings of the Blue Ribbon Study Panel on Biodefense, as put forward in the Panel's report, ""A National Blueprint for Biodefense."" The Committee heard testimony from the Study Panel co-chairs, and followed this hearing with another on April 14, 2016, in which HSGAC heard from federal officials. Conversation at this hearing centered on the ongoing threat of biological events (including emerging infectious disease from nature, biological attacks, and biological accidents) to the United States; ongoing gaps in U.S. preparedness; and the Panel's recommendations to remedy those gaps, which included establishing senior federal political leadership for biodefense and coordinating biodefense activity and budgeting across the many agencies tasked with biodefense-related programs.",,921,Joseph Lieberman,0,Thomas Ridge,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senate Committee on Homeland Security and Governmental Affairs (US),,The Federal Perspective on the State of Our Nation's Biodefense,https://www.govinfo.gov/app/details/CHRG-114shrg22772/CHRG-114shrg22772,"April 14, 2016",2016-04-14,Senate,R,Strategic planning,"The Senate Committee on Homeland Security and Governmental Affairs (HSGAC) held a hearing on the adequacy of biodefense activities across the federal government, in part as a follow up to an October 28, 2015 hearing in which HSGAC examined the recommendations and findings of the Blue Ribbon Study Panel on Biodefense's report, ""A National Blueprint for Biodefense."" The Committee heard testimony from various senior federal officials. Conversation centered on steps being taken to improve coordination of biodefense activity across the federal government and the degree to which the Study Panel's recommendations should be implemented.",,925,Richard Hatchett,1,Stephen Redd,1,Kevin Shea,1,Aaron Firoved,1,Chris Currie,1,,,,,,,,,,,,,,,,,,,,,,
Senate Committee on the Judiciary (US),Subcommittee on Terrorism and Homeland Security,Strengthening Security and Oversight at Biological Research Laboratories,https://www.govinfo.gov/app/details/CHRG-111shrg55644/CHRG-111shrg55644,"September 22, 2009",2009-09-22,Senate,D,Other,"The Senate Committee on the Judiciary Subcommittee on Terrorism and Homeland Security held a hearing on high-containment laboratory security and oversight in the United States. The Subcommittee heard testimony from federal and non-federal witnesses. High-containment biological laboratories host research on dangerous infectious pathogens, which may be deliberately or accidentally released and cause outbreaks; hearing discussion focused on the federal government's efforts to improve security and oversight and recommendations from outside experts on how to do so.",,900,Bob Graham,0,Daniel Roberts,1,Jean Reed,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Senate Committee on Veterans' Affairs (US),,Lessons Learned from Desert Storm Regarding Chemical and Biological Weapons Preparedness,https://books.google.com/books/about/Lessons_Learned_from_Desert_Storm_Regard.html?id=ygonuQEACAAJ,"March 17, 1998",1998-03-17,Senate,R,Medical preparedness / emergency response,"The Senate Committee on Veteran's Affairs held a hearing to examine the medical, chemical, and biological warfare preparedness program of the Department of Defense (DoD), focusing on lessons learned from Persian Gulf War illnesses. The Committee examined various events from operations Desert Shield and Desert Storm and determined gaps in the DoD's strategy to protect its troops from chemical and biological agents, which include infectious pathogens. They also highlighted updates in countermeasures research that could improve protections. ",,845,Bernard Rostker,1,Gary Christopherson,1,Michael Cowan,1,Randolph Wykoff,1,Mark Gebicke,1,Melissa McDiarmid,0,,,,,,,,,,,,,,,,,,,,
Senate Special Committee on Aging (US),,The Vaccine Vacuum: What Can Be Done to Protect Seniors?,https://www.govinfo.gov/app/details/CHRG-107shrg74367/CHRG-107shrg74367,"May 30, 2001",2001-05-30,Senate,R,Medical preparedness / emergency response,The Senate Special Committee on Aging held a hearing to examine how vaccine availability for seniors could be ensured. Discussion addressed influenza vaccine and the shortages that had occurred during the prior autumn. One witnesses noted that a future pandemic influenza must be planned for with respect to vaccine availability and access.,,3344,Mary Keene,0,Janet Heinrich,1,John Sattenspiel,0,Stephen Allred,0,Keiji Fukuda,1,Sanford Kaufman,0,Matthew Rowan,0,Steve Skoronski,0,Grant Higginson,0,,,,,,,,,,,,,,
Senate Special Committee on Aging (US),,Combating the Flu: Keeping Seniors Alive,https://www.govinfo.gov/app/details/CHRG-108shrg97604/CHRG-108shrg97604,"September 28, 2004",2004-09-28,Senate,R,Medical preparedness / emergency response,"The Senate Special Committee on Aging held a hearing to examine federal, state, and local efforts to prevent deaths of senior citizens from influenza, focusing on influenza vaccine recommendations, improved vaccine coverage, and antiviral drugs. The Committee reviewed adjustments the public health system had made in response to a vaccine shortage along with an early flu season the previous year. The Committee concluded that in order to address challenges of the flu, it was necessary to speed up vaccine production, enhance monitoring to detect new viruses, and continue informational campaigns on the importance of routine flu vaccination. ",,865,Stephen Ostroff,1,Pamela McInnes,1,Janet Heinrich,1,Carol Moehrle,0,Howard Pien,0,,,,,,,,,,,,,,,,,,,,,,
Senate Special Committee on Aging (US),,"Liability, Licensing and the Flu Vaccine Market: Making Decisions Today to Prevent a Crisis Tomorrow",https://www.govinfo.gov/app/details/CHRG-108shrg98460/CHRG-108shrg98460,"November 16, 2004",2004-11-16,Senate,R,Medical preparedness / emergency response,"The Senate Special Committee on Aging held a hearing to examine liability and licensing issues relating to the influenza vaccine market. Discussion focused on the ongoing efforts of the Food and Drug Administration to ensure the safety, effectiveness, and availability of influenza and other vaccines licensed in the United States. ",,713,Lester Crawford,1,Mitchell Cohen,1,Peter Paradiso,0,Frank Sloan,0,,,,,,,,,,,,,,,,,,,,,,,,
Senate Special Committee on Aging (US),,Preparing for Pandemic Flu,https://www.govinfo.gov/app/details/CHRG-109shrg30041/CHRG-109shrg30041,"May 25, 2006",2006-05-25,Senate,R,Medical preparedness / emergency response,"The Senate Special Committee on Aging held an oversight hearing on the Department of Health and Human Services' (HHS) efforts to prepare for pandemic influenza. The committee heard from testimony the the HHS Secretary and experts outside of the federal government. Discussion centered on the particular vulnerability of older adults during an influenza pandemic, the value of public health messaging toward older adults' communities, and the importance of incorporating older adults' needs into all aspects of pandemic planning.",,885,Michael Leavitt,1,J. Steven Cline,0,Nancy Donegan,0,,,,,,,,,,,,,,,,,,,,,,,,,,
